Training Log
Epoch 117/1000, Loss: 0.005118817494284096
Epoch 118/1000, Loss: 0.02295249739178135
Epoch 119/1000, Loss: 0.006939458329205601
Epoch 120/1000, Loss: 0.00505824125658754
Epoch 121/1000, Loss: 0.005295116967491118
Epoch 122/1000, Loss: 0.005640821875810313
Epoch 123/1000, Loss: 0.02641363285199207
Epoch 124/1000, Loss: 0.008917605380355824
Epoch 125/1000, Loss: 0.004978372503717851
Epoch 126/1000, Loss: 0.0049233097289245395
Epoch 127/1000, Loss: 0.019616890262113884
Epoch 128/1000, Loss: 0.006491929033516152
Epoch 129/1000, Loss: 0.0047966205945288365
Epoch 130/1000, Loss: 0.004925200126308482
Epoch 131/1000, Loss: 0.02045853156076711
Epoch 132/1000, Loss: 0.005147726110105093
Epoch 133/1000, Loss: 0.004667782396219471
Epoch 134/1000, Loss: 0.020346333496230988
Epoch 135/1000, Loss: 0.012909789961884684
Epoch 136/1000, Loss: 0.004851471441811771
Epoch 137/1000, Loss: 0.006183809671797678
Epoch 138/1000, Loss: 0.01910807593611978
Epoch 139/1000, Loss: 0.004928148410856791
Epoch 140/1000, Loss: 0.009504173738518841
Epoch 141/1000, Loss: 0.010742949420611174
Epoch 142/1000, Loss: 0.004575690073016588
Epoch 143/1000, Loss: 0.01678521969352871
Epoch 144/1000, Loss: 0.00742151628323232
Epoch 145/1000, Loss: 0.004538094284292865
Epoch 146/1000, Loss: 0.007103052965941883
Epoch 147/1000, Loss: 0.01797632272722521
Epoch 148/1000, Loss: 0.004806875380814918
Epoch 149/1000, Loss: 0.004460588366263047
Epoch 150/1000, Loss: 0.0047630099846477
Epoch 151/1000, Loss: 0.005001821894048979
Epoch 152/1000, Loss: 0.02319041675080024
Epoch 153/1000, Loss: 0.00594412065159607
Epoch 154/1000, Loss: 0.004270762384597522
Epoch 155/1000, Loss: 0.008510693190536196
Epoch 156/1000, Loss: 0.017936826252913478
Epoch 157/1000, Loss: 0.00481499382260067
Epoch 158/1000, Loss: 0.004236114297999025
Epoch 159/1000, Loss: 0.018850962502689243
Epoch 160/1000, Loss: 0.013547819907779783
Epoch 161/1000, Loss: 0.00986904961679275
Epoch 162/1000, Loss: 0.004479274466055878
Epoch 163/1000, Loss: 0.004553066080136757
Epoch 164/1000, Loss: 0.017999513198446948
Epoch 165/1000, Loss: 0.004505444772976695
Epoch 166/1000, Loss: 0.004218061540866204
Epoch 167/1000, Loss: 0.01825281517830306
Epoch 168/1000, Loss: 0.011632222264389773
Epoch 169/1000, Loss: 0.004482202152887892
Epoch 170/1000, Loss: 0.004233310355803475
Epoch 171/1000, Loss: 0.018158896597014973
Epoch 172/1000, Loss: 0.009820021817826532
Epoch 173/1000, Loss: 0.004297492230675527
Epoch 174/1000, Loss: 0.004130966059858024
Epoch 175/1000, Loss: 0.019229149455246182
Epoch 176/1000, Loss: 0.011108505896118004
Epoch 177/1000, Loss: 0.004436760564463579
Epoch 178/1000, Loss: 0.004139084374314518
Epoch 179/1000, Loss: 0.004295026903751672
Epoch 180/1000, Loss: 0.012774728741663108
Epoch 181/1000, Loss: 0.014109603069387265
Epoch 182/1000, Loss: 0.0045209819386183795
Epoch 183/1000, Loss: 0.014756445893345656
Epoch 184/1000, Loss: 0.004855242137723724
Epoch 185/1000, Loss: 0.009432117203513848
Epoch 186/1000, Loss: 0.011055874111965144
Epoch 187/1000, Loss: 0.004042661064020302
Epoch 188/1000, Loss: 0.003987201681801318
Epoch 189/1000, Loss: 0.004245279386460814
Epoch 190/1000, Loss: 0.01506970111343738
Epoch 191/1000, Loss: 0.013058465907566383
Epoch 192/1000, Loss: 0.004207611359258105
Epoch 193/1000, Loss: 0.0037872895696810225
Epoch 194/1000, Loss: 0.008135364595675907
Epoch 195/1000, Loss: 0.013853289223680761
